bodyType,brand,color,engineDisplacement,enginePower,fuelType,mileage,modelDate,model_info,numberOfDoors,sell_id,vehicleTransmission,vhp,gear,wheel,price,sample
внедорожник 5 дв.,AUDI,синий,2.0,249,бензин,40206,2019,Q5,5.0,1102606679,роботизированная,Оригинал,полный,Левый,3219000,1
седан,AUDI,белый,1.4,150,бензин,2817,2020,A3,4.0,1102432794,роботизированная,Оригинал,передний,Левый,1855000,1
лифтбек sportback,AUDI,синий,2.0,249,бензин,51150,2017,A5,5.0,1102306011,роботизированная,Оригинал,полный,Левый,2649000,1
внедорожник 5 дв.,AUDI,серый,3.0,249,дизель,109395,2016,Q7,5.0,1102447965,автоматическая,Оригинал,полный,Левый,3279000,1
седан,AUDI,чёрный,3.0,245,дизель,121880,2012,A6,4.0,1102327881,роботизированная,Оригинал,полный,Левый,1501587,1
внедорожник 5 дв.,AUDI,чёрный,3.0,333,бензин,55750,2015,Q7,5.0,1101819254,автоматическая,Оригинал,полный,Левый,3207000,1
седан,AUDI,серый,2.0,249,бензин,85296,2016,A4,4.0,1102585991,роботизированная,Оригинал,полный,Левый,2033544,1
седан,AUDI,белый,1.4,150,бензин,31200,2018,A3,4.0,1102460662,роботизированная,Оригинал,передний,Левый,1479000,1
седан long,AUDI,чёрный,3.0,310,бензин,72605,2016,A8,4.0,1102596931,автоматическая,Оригинал,полный,Левый,2999000,1
универсал 5 дв.,AUDI,серебристый,3.0,290,бензин,285496,2011,ALLROAD,5.0,1101839745,автоматическая,Оригинал,полный,Левый,679000,1
седан,AUDI,чёрный,1.8,190,бензин,234870,2015,A6,4.0,1102167919,роботизированная,Дубликат,передний,Левый,1169000,1
седан long,AUDI,чёрный,3.0,310,бензин,121477,2016,A8,4.0,1102450089,автоматическая,Оригинал,полный,Левый,2899000,1
седан,AUDI,белый,1.4,150,бензин,50166,2016,A3,4.0,1102343344,роботизированная,Оригинал,передний,Левый,1349000,1
хэтчбек 5 дв. sportback,AUDI,синий,1.2,110,бензин,67688,2014,A3,5.0,1102345182,роботизированная,Оригинал,передний,Левый,859000,1
внедорожник 5 дв.,AUDI,золотистый,2.0,180,бензин,86712,2016,Q3,5.0,1102393922,роботизированная,Оригинал,полный,Левый,1719000,1
седан,AUDI,чёрный,1.8,190,бензин,36960,2018,A6,4.0,1102306155,роботизированная,Оригинал,передний,Левый,2235000,1
лифтбек sportback,AUDI,белый,2.0,190,дизель,39904,2018,A5,5.0,1102335807,роботизированная,Оригинал,полный,Левый,2599000,1
хэтчбек 5 дв. sportback,AUDI,белый,1.4,122,бензин,90628,2013,A3,5.0,1101806301,роботизированная,Оригинал,передний,Левый,770000,1
внедорожник 5 дв.,AUDI,серый,3.0,340,бензин,28242,2018,Q8,5.0,1102520668,автоматическая,Оригинал,полный,Левый,6550588,1
лифтбек gran turismo,BMW,чёрный,2.0,190,дизель,13208,2019,6ER,5.0,1102305105,автоматическая,Оригинал,полный,Левый,4050000,1
хэтчбек 5 дв.,BMW,чёрный,1.6,136,бензин,157397,2013,1ER,5.0,1102688985,автоматическая,Оригинал,задний,Левый,798000,1
седан,BMW,белый,3.0,265,дизель,111000,2016,7ER,4.0,1102677051,автоматическая,Оригинал,полный,Левый,3299000,1
внедорожник 5 дв.,BMW,белый,3.0,381,дизель,105369,2012,X6,5.0,1102684750,автоматическая,Дубликат,полный,Левый,2239000,1
седан,BMW,серый,2.0,184,бензин,97529,2014,5ER,4.0,1102617084,автоматическая,Оригинал,задний,Левый,1522000,1
седан,BMW,чёрный,2.0,190,дизель,57200,2018,5ER,4.0,1102172517,автоматическая,Оригинал,задний,Левый,2295000,1
седан,BMW,чёрный,2.0,184,бензин,37182,2017,3ER,4.0,1102696597,автоматическая,Оригинал,полный,Левый,2180000,1
седан gran coupe,BMW,красный,3.0,340,бензин,8801,2019,8ER,4.0,1102674059,автоматическая,Оригинал,полный,Левый,7749000,1
внедорожник 5 дв.,BMW,чёрный,2.0,245,бензин,140083,2013,X3,5.0,1102626787,автоматическая,Оригинал,полный,Левый,1363000,1
седан,BMW,чёрный,2.0,190,дизель,193763,2016,5ER,4.0,1102525940,автоматическая,Оригинал,задний,Левый,1587000,1
седан,BMW,синий,2.0,249,бензин,60000,2018,5ER,4.0,1101602743,автоматическая,Оригинал,полный,Левый,3000888,1
купе,BMW,белый,2.0,184,дизель,25000,2014,2ER,2.0,1102298174,автоматическая,Оригинал,задний,Левый,1760000,1
внедорожник 5 дв.,BMW,серый,3.0,340,бензин,16000,2020,X5,5.0,1102715883,автоматическая,Оригинал,полный,Левый,6299900,1
внедорожник 5 дв.,BMW,коричневый,3.0,306,бензин,108472,2014,X5,5.0,1102680791,автоматическая,Оригинал,полный,Левый,2470000,1
седан,BMW,чёрный,2.0,184,бензин,69811,2018,5ER,4.0,1102203089,автоматическая,Оригинал,задний,Левый,2450000,1
внедорожник 5 дв.,BMW,коричневый,3.0,306,бензин,46745,2016,X6,5.0,1102682163,автоматическая,Оригинал,полный,Левый,3289000,1
седан,BMW,белый,2.0,245,бензин,131792,2015,5ER,4.0,1102693075,автоматическая,Дубликат,полный,Левый,1690000,1
седан long,BMW,чёрный,3.0,249,дизель,93687,2018,7ER,4.0,1102479574,автоматическая,Оригинал,полный,Левый,3970005,1
седан,BMW,красный,2.0,184,дизель,81731,2014,3ER,4.0,1102367276,автоматическая,Оригинал,полный,Левый,1649000,1
внедорожник 5 дв.,BMW,серый,3.0,218,дизель,164000,2015,X5,5.0,1101441247,автоматическая,Оригинал,полный,Левый,2450000,1
внедорожник 5 дв.,BMW,фиолетовый,4.4,625,бензин,9871,2020,X6_M,5.0,1102673437,автоматическая,Оригинал,полный,Левый,12200000,1
седан,BMW,чёрный,2.0,190,дизель,57753,2016,5ER,4.0,1102613510,автоматическая,Оригинал,задний,Левый,1950000,1
внедорожник 5 дв.,BMW,чёрный,2.0,231,дизель,10200,2020,X5,5.0,1102715356,автоматическая,Оригинал,полный,Левый,5350000,1
седан,BMW,чёрный,2.0,184,бензин,53679,2015,5ER,4.0,1102685027,автоматическая,Оригинал,задний,Левый,1678000,1
купе,BMW,белый,4.4,407,бензин,125000,2011,6ER,2.0,1102615353,автоматическая,Дубликат,полный,Левый,1425000,1
седан,BMW,серый,3.0,249,дизель,20487,2018,5ER,4.0,1102689773,автоматическая,Оригинал,полный,Левый,4000895,1
седан,BMW,чёрный,2.0,184,дизель,144000,2012,3ER,4.0,1101386583,автоматическая,Оригинал,задний,Левый,1289000,1
седан,BMW,чёрный,2.0,190,дизель,155000,2015,5ER,4.0,1102631828,автоматическая,Оригинал,задний,Левый,1490000,1
внедорожник 5 дв.,BMW,синий,3.0,218,дизель,39000,2017,X5,5.0,1102716121,автоматическая,Оригинал,полный,Левый,3690000,1
седан long,BMW,серый,3.0,249,дизель,26496,2019,7ER,4.0,1101622444,автоматическая,Оригинал,полный,Левый,7751536,1
хэтчбек 5 дв.,BMW,чёрный,2.0,136,бензин,125000,2010,1ER,5.0,1102588946,автоматическая,Оригинал,задний,Левый,559000,1
седан long,BMW,чёрный,3.0,320,бензин,183475,2012,7ER,4.0,1101821346,автоматическая,Оригинал,полный,Левый,1480000,1
внедорожник 5 дв.,BMW,голубой,4.4,575,бензин,62429,2017,X5_M,5.0,1102678290,автоматическая,Оригинал,полный,Левый,4998000,1
внедорожник 5 дв.,BMW,синий,3.0,249,дизель,27346,2019,X5,5.0,1102677226,автоматическая,Оригинал,полный,Левый,6297000,1
хэтчбек 5 дв.,BMW,чёрный,0.6,184,гибрид,19964,2018,I3,5.0,1102678044,автоматическая,Оригинал,задний,Левый,3200000,1
седан,BMW,чёрный,2.0,245,бензин,104222,2016,5ER,4.0,1102420609,автоматическая,Оригинал,полный,Левый,1899000,1
седан,MERCEDES,чёрный,2.0,194,дизель,6551,2020,E_KLASSE,4.0,1102561499,автоматическая,Оригинал,полный,Левый,3514000,1
внедорожник 5 дв.,MERCEDES,серый,2.0,211,бензин,23988,2018,GLC_KLASSE,5.0,1102696563,автоматическая,Оригинал,полный,Левый,3299000,1
хэтчбек 5 дв.,MERCEDES,чёрный,2.0,421,бензин,3300,2020,A_KLASSE_AMG,5.0,1102715519,роботизированная,Оригинал,полный,Левый,5000000,1
внедорожник 5 дв.,MERCEDES,синий,3.0,249,дизель,39873,2018,GLE_KLASSE_COUPE,5.0,1102674585,автоматическая,Оригинал,полный,Левый,4998000,1
внедорожник 5 дв.,MERCEDES,чёрный,5.5,585,бензин,44000,2017,GLE_KLASSE_COUPE_AMG,5.0,1102260275,автоматическая,Оригинал,полный,Левый,5650000,1
минивэн xl,MERCEDES,чёрный,2.1,190,дизель,166200,2016,V_KLASSE,5.0,1101958800,автоматическая,Оригинал,полный,Левый,3300000,1
внедорожник 5 дв.,MERCEDES,белый,2.0,211,бензин,141894,2013,GLK_KLASSE,5.0,1102702328,автоматическая,Оригинал,полный,Левый,1488000,1
седан,MERCEDES,чёрный,1.6,156,бензин,91929,2014,C_KLASSE,4.0,1102698238,автоматическая,Оригинал,задний,Левый,1549000,1
купе,MERCEDES,серый,4.7,455,бензин,95072,2015,S_KLASSE,2.0,1102645860,автоматическая,Оригинал,полный,Левый,5250000,1
седан,MERCEDES,белый,2.0,211,бензин,76500,2015,CLA_KLASSE,4.0,1102701043,роботизированная,Оригинал,полный,Левый,1699000,1
минивэн l,MERCEDES,чёрный,2.1,190,дизель,59372,2018,V_KLASSE,5.0,1102697925,автоматическая,Оригинал,полный,Левый,4895000,1
хэтчбек 5 дв.,MERCEDES,красный,1.4,82,бензин,300000,1998,A_KLASSE,5.0,1102065137,механическая,Оригинал,передний,Левый,200000,1
хэтчбек 5 дв.,MERCEDES,белый,1.7,116,бензин,60427,2012,A_KLASSE,5.0,1102689769,вариатор,Оригинал,передний,Левый,635000,1
седан,MERCEDES,синий,1.6,150,бензин,48498,2016,C_KLASSE,4.0,1102532438,автоматическая,Оригинал,задний,Левый,1709000,1
седан,MERCEDES,красный,1.6,156,бензин,100865,2014,CLA_KLASSE,4.0,1102076973,роботизированная,Оригинал,передний,Левый,1275000,1
внедорожник 5 дв.,MERCEDES,серый,3.0,258,дизель,171000,2013,GL_KLASSE,5.0,1102717359,автоматическая,Оригинал,полный,Левый,2240000,1
седан,MERCEDES,чёрный,2.0,197,бензин,2200,2020,E_KLASSE,4.0,1102715226,автоматическая,Оригинал,полный,Левый,3850000,1
седан,MERCEDES,чёрный,2.0,211,бензин,112000,2014,E_KLASSE,4.0,1102622468,автоматическая,Дубликат,задний,Левый,1350000,1
седан,MERCEDES,чёрный,3.5,272,бензин,158000,2006,CLS_KLASSE,4.0,1102108666,автоматическая,Оригинал,задний,Левый,750000,1
хэтчбек 5 дв.,MERCEDES,белый,1.6,122,бензин,116079,2013,A_KLASSE,5.0,1102276866,роботизированная,Оригинал,передний,Левый,858000,1
внедорожник 5 дв.,MERCEDES,чёрный,1.6,156,бензин,72772,2014,GLA_CLASS,5.0,1102626793,роботизированная,Оригинал,передний,Левый,1457000,1
внедорожник 5 дв.,MERCEDES,чёрный,5.4,500,бензин,222900,2007,G_KLASSE_AMG,5.0,1101805297,автоматическая,Оригинал,полный,Левый,2590000,1
седан long,MERCEDES,чёрный,4.7,455,бензин,81681,2016,S_KLASSE,4.0,1102589164,автоматическая,Оригинал,полный,Левый,4298000,1
купе,MERCEDES,золотистый,2.0,184,бензин,16500,2017,E_KLASSE,2.0,1102698234,автоматическая,Оригинал,полный,Левый,3648000,1
минивэн extra long,MERCEDES,фиолетовый,2.1,150,дизель,215200,2009,VIANO,4.0,1102679727,автоматическая,Оригинал,полный,Левый,1077000,1
внедорожник 5 дв.,MERCEDES,чёрный,2.1,204,дизель,124000,2015,GLE_KLASSE,5.0,1102680072,автоматическая,Оригинал,полный,Левый,2699800,1
внедорожник 5 дв.,MERCEDES,чёрный,3.0,367,бензин,59000,2017,GLE_KLASSE_AMG,5.0,1102023913,автоматическая,Оригинал,полный,Левый,4040000,1
внедорожник 5 дв.,MERCEDES,серый,3.0,224,дизель,199261,2009,M_KLASSE,5.0,1102137063,автоматическая,Дубликат,полный,Левый,1049000,1
внедорожник 5 дв.,MERCEDES,белый,1.6,150,бензин,20233,2019,GLA_CLASS,5.0,1102532461,роботизированная,Оригинал,передний,Левый,2175000,1
купе,MERCEDES,голубой,2.0,184,бензин,16000,2019,E_KLASSE,2.0,1101617471,автоматическая,Оригинал,полный,Левый,3800000,1
внедорожник 5 дв.,MERCEDES,чёрный,5.4,507,бензин,95500,2010,G_KLASSE_AMG,5.0,1102403250,автоматическая,Дубликат,полный,Левый,2950000,1
хэтчбек 5 дв.,MERCEDES,чёрный,2.0,190,бензин,51319,2018,A_KLASSE,5.0,1102641639,роботизированная,Оригинал,полный,Левый,2344000,1
внедорожник 5 дв.,MERCEDES,серый,1.6,150,бензин,14378,2019,GLA_CLASS,5.0,1102398145,роботизированная,Оригинал,передний,Левый,2398000,1
седан,MERCEDES,чёрный,2.0,211,гибрид,37290,2018,E_KLASSE,4.0,1102553165,автоматическая,Оригинал,задний,Левый,3348000,1
седан,MERCEDES,чёрный,1.5,150,бензин,13730,2019,C_KLASSE,4.0,1102676252,автоматическая,Оригинал,задний,Левый,2438000,1
седан,MERCEDES,чёрный,1.8,204,бензин,123118,2013,C_KLASSE,4.0,1102419222,автоматическая,Оригинал,задний,Левый,1089000,1
внедорожник 5 дв.,MERCEDES,чёрный,2.9,330,дизель,7,2020,GLS_KLASSE,5.0,1101565285,автоматическая,Оригинал,полный,Левый,9097000,1
седан,AUDI,чёрный,1.8,190,бензин,174000,2015,A6,4.0,1102304703,роботизированная,Оригинал,передний,Левый,1279000,1
внедорожник 5 дв.,AUDI,синий,2.0,230,бензин,65000,2016,Q5,5.0,1102331410,автоматическая,Оригинал,полный,Левый,1937000,1
седан,AUDI,красный,1.8,160,бензин,139369,2008,A4,4.0,1102561416,вариатор,Оригинал,передний,Левый,630000,1
внедорожник 5 дв.,AUDI,серый,3.0,272,бензин,79899,2011,Q7,5.0,1102363130,автоматическая,Оригинал,полный,Левый,1519000,1
седан long,AUDI,чёрный,4.0,435,бензин,135523,2015,A8,4.0,1102438301,автоматическая,Оригинал,полный,Левый,2599000,1
внедорожник 5 дв.,AUDI,белый,3.0,249,дизель,33108,2019,Q7,5.0,1101678010,автоматическая,Оригинал,полный,Левый,4899000,1
хэтчбек 5 дв. sportback,AUDI,чёрный,1.4,125,бензин,56627,2015,A1,5.0,1102594080,роботизированная,Оригинал,передний,Левый,956000,1
седан,AUDI,чёрный,3.0,245,дизель,77000,2011,A6,4.0,1102600748,роботизированная,Оригинал,полный,Левый,1575000,1
внедорожник 5 дв.,AUDI,серый,2.0,180,бензин,92300,2016,Q5,5.0,1102520667,автоматическая,Оригинал,полный,Левый,2057246,1
внедорожник 5 дв.,AUDI,красный,1.4,150,бензин,19789,2019,Q3,5.0,1101817655,роботизированная,Оригинал,передний,Левый,2849000,1
седан,AUDI,белый,2.0,249,бензин,169942,2015,A6,4.0,1102151973,роботизированная,Дубликат,полный,Левый,1579000,1
лифтбек sportback,AUDI,белый,2.0,190,дизель,31013,2017,A5,5.0,1102549956,роботизированная,Оригинал,полный,Левый,2749000,1
седан,AUDI,белый,2.0,190,дизель,49515,2018,A4,4.0,1102364479,роботизированная,Оригинал,полный,Левый,2631507,1
внедорожник 5 дв.,AUDI,белый,2.0,211,бензин,96297,2011,Q3,5.0,1102601265,роботизированная,Оригинал,полный,Левый,1056225,1
лифтбек sportback,AUDI,чёрный,2.0,225,бензин,181987,2015,A5,5.0,1102317193,роботизированная,Оригинал,полный,Левый,1218000,1
седан,AUDI,серый,2.0,190,дизель,45000,2019,A4,4.0,1102327065,роботизированная,Оригинал,полный,Левый,2439000,1
седан,AUDI,белый,1.8,170,бензин,110564,2013,A4,4.0,1102393925,вариатор,Оригинал,передний,Левый,999000,1
внедорожник 5 дв.,AUDI,оранжевый,1.4,150,бензин,24530,2019,Q3,5.0,1101817651,роботизированная,Оригинал,передний,Левый,2799000,1
внедорожник 5 дв.,AUDI,коричневый,2.0,180,бензин,99122,2016,Q3,5.0,1102597357,роботизированная,Оригинал,полный,Левый,1599000,1
внедорожник 5 дв.,AUDI,синий,2.0,170,бензин,109947,2012,Q3,5.0,1102606681,роботизированная,Оригинал,полный,Левый,1116000,1
седан,AUDI,серый,1.8,190,бензин,94310,2016,A6,4.0,1102448974,роботизированная,Оригинал,передний,Левый,1649000,1
седан,AUDI,белый,1.4,150,бензин,26094,2018,A3,4.0,1102600746,роботизированная,Оригинал,передний,Левый,1680000,1
внедорожник 5 дв.,AUDI,голубой,1.4,150,бензин,17625,2019,Q3,5.0,1102103178,роботизированная,Оригинал,передний,Левый,3253261,1
седан,AUDI,чёрный,2.0,180,бензин,80005,2013,A6,4.0,1102604329,вариатор,Оригинал,передний,Левый,1355000,1
лифтбек,AUDI,белый,3.0,300,бензин,282356,2010,A7,5.0,1102591449,роботизированная,Оригинал,полный,Левый,1140000,1
седан,AUDI,чёрный,3.0,310,бензин,160574,2013,A6,4.0,1102403914,роботизированная,Дубликат,полный,Левый,1145000,1
внедорожник 5 дв.,AUDI,белый,2.0,180,бензин,70998,2016,Q5,5.0,1102531680,автоматическая,Оригинал,полный,Левый,2120946,1
седан,AUDI,чёрный,2.0,190,дизель,45460,2019,A4,4.0,1102349611,роботизированная,Оригинал,полный,Левый,2549000,1
внедорожник 5 дв.,AUDI,белый,2.0,225,бензин,67082,2014,Q5,5.0,1102577541,автоматическая,Оригинал,полный,Левый,2150000,1
внедорожник 5 дв.,AUDI,чёрный,2.0,211,бензин,119558,2011,Q5,5.0,1102583187,автоматическая,Оригинал,полный,Левый,997000,1
седан,AUDI,серый,2.0,249,бензин,77172,2016,A4,4.0,1102345593,роботизированная,Оригинал,полный,Левый,1736000,1
внедорожник 5 дв.,AUDI,чёрный,2.0,230,бензин,198350,2016,Q5,5.0,1102467275,автоматическая,Оригинал,полный,Левый,1660000,1
седан,AUDI,серый,2.0,249,бензин,54248,2016,A6,4.0,1102041906,роботизированная,Оригинал,полный,Левый,1968000,1
седан,AUDI,чёрный,1.8,190,бензин,108377,2016,A6,4.0,1102585996,роботизированная,Оригинал,передний,Левый,1826543,1
лифтбек sportback,AUDI,чёрный,2.0,190,бензин,41774,2019,A5,5.0,1102530463,роботизированная,Оригинал,передний,Левый,2649000,1
седан,AUDI,белый,2.0,249,бензин,85000,2015,A6,4.0,1102393924,роботизированная,Оригинал,полный,Левый,2049000,1
седан,AUDI,синий,1.4,150,бензин,15000,2019,A3,4.0,1102607000,роботизированная,Оригинал,передний,Левый,1799000,1
внедорожник 5 дв.,BMW,серый,3.0,218,дизель,76627,2015,X5,5.0,1102685923,автоматическая,Оригинал,полный,Левый,3030000,1
седан long,BMW,чёрный,4.4,450,бензин,63615,2015,7ER,4.0,1102686076,автоматическая,Оригинал,полный,Левый,3299000,1
внедорожник 5 дв.,BMW,белый,2.0,184,бензин,167775,2013,X1,5.0,1102689256,автоматическая,Оригинал,полный,Левый,1099000,1
внедорожник 5 дв.,BMW,синий,2.0,192,бензин,38000,2017,X1,5.0,1102676414,автоматическая,Оригинал,полный,Левый,1957000,1
седан,BMW,коричневый,3.0,258,дизель,152456,2014,5ER,4.0,1102689123,автоматическая,Оригинал,полный,Левый,1795000,1
внедорожник 5 дв.,BMW,чёрный,2.0,190,дизель,170264,2016,X4,5.0,1101476234,автоматическая,Оригинал,полный,Левый,2219000,1
внедорожник 5 дв.,BMW,красный,3.0,306,дизель,154000,2012,X5,5.0,1102631939,автоматическая,Оригинал,полный,Левый,1390000,1
седан,BMW,чёрный,2.0,245,бензин,174173,2013,5ER,4.0,1102194581,автоматическая,Оригинал,полный,Левый,1390000,1
внедорожник 5 дв.,BMW,чёрный,3.0,249,дизель,14390,2019,X7,5.0,1102371763,автоматическая,Оригинал,полный,Левый,6847000,1
внедорожник 5 дв.,BMW,чёрный,3.0,313,дизель,60013,2017,X5,5.0,1102285813,автоматическая,Оригинал,полный,Левый,3945000,1
внедорожник 5 дв.,BMW,серый,2.0,249,бензин,13903,2018,X4,5.0,1102507516,автоматическая,Оригинал,полный,Левый,3860000,1
хэтчбек 5 дв.,BMW,белый,1.6,115,бензин,174500,2009,1ER,5.0,1102657864,автоматическая,Дубликат,задний,Левый,425000,1
лифтбек gran turismo,BMW,красный,2.0,184,бензин,66453,2014,3ER,5.0,1102686211,автоматическая,Оригинал,полный,Левый,1847000,1
седан,BMW,белый,3.0,249,дизель,20574,2019,5ER,4.0,1102677521,автоматическая,Оригинал,полный,Левый,3899000,1
внедорожник 5 дв.,BMW,чёрный,2.0,184,бензин,80817,2013,X3,5.0,1102678453,автоматическая,Оригинал,полный,Левый,1370000,1
седан,BMW,белый,2.0,218,дизель,154000,2014,5ER,4.0,1101713643,автоматическая,Оригинал,полный,Левый,1570000,1
внедорожник 5 дв.,BMW,чёрный,3.0,231,бензин,300000,2003,X5,5.0,1102716295,автоматическая,Дубликат,полный,Левый,500000,1
внедорожник 5 дв.,BMW,голубой,4.4,575,бензин,41200,2016,X5_M,5.0,1102420448,автоматическая,Оригинал,полный,Левый,4500000,1
седан,BMW,чёрный,3.0,249,дизель,1200,2020,5ER,4.0,1102589927,автоматическая,Оригинал,полный,Левый,5450000,1
внедорожник 5 дв.,BMW,синий,4.4,575,бензин,78000,2016,X6_M,5.0,1101434819,автоматическая,Оригинал,полный,Левый,4150000,1
седан,BMW,чёрный,2.0,190,дизель,14,2021,5ER,4.0,1102674369,автоматическая,Оригинал,полный,Левый,4249999,1
внедорожник 5 дв.,BMW,чёрный,2.0,184,дизель,189454,2010,X3,5.0,1102634943,автоматическая,Оригинал,полный,Левый,1245000,1
внедорожник 5 дв.,BMW,чёрный,3.0,258,бензин,101000,2011,X3,5.0,1102673357,автоматическая,Оригинал,полный,Левый,1199000,1
седан long,BMW,чёрный,3.0,245,дизель,101883,2009,7ER,4.0,1102676435,автоматическая,Оригинал,задний,Левый,1597000,1
лифтбек gran turismo,BMW,бежевый,3.0,245,дизель,189000,2011,5ER,5.0,1102673162,автоматическая,Оригинал,полный,Левый,1285000,1
седан,BMW,серый,2.5,170,бензин,270000,1999,5ER,4.0,1102716528,автоматическая,Дубликат,задний,Левый,290000,1
внедорожник 5 дв.,BMW,чёрный,3.0,249,дизель,18000,2019,X7,5.0,1102440891,автоматическая,Оригинал,полный,Левый,7100000,1
внедорожник 5 дв.,BMW,чёрный,3.0,249,дизель,25501,2019,X7,5.0,1102646576,автоматическая,Оригинал,полный,Левый,6670000,1
седан,BMW,чёрный,2.0,190,дизель,182396,2016,5ER,4.0,1102688669,автоматическая,Дубликат,задний,Левый,1497000,1
внедорожник 5 дв.,BMW,серый,2.0,190,дизель,34760,2018,X2,5.0,1102634019,автоматическая,Оригинал,полный,Левый,2549000,1
седан,BMW,серый,2.0,184,бензин,172000,2011,5ER,4.0,1102716488,автоматическая,Дубликат,задний,Левый,1190000,1
седан,BMW,чёрный,3.0,258,дизель,160278,2013,7ER,4.0,1102671041,автоматическая,Оригинал,полный,Левый,1707000,1
седан,BMW,чёрный,2.0,190,дизель,2381,2020,3ER,4.0,1102677485,автоматическая,Оригинал,полный,Левый,3350000,1
внедорожник 5 дв.,BMW,белый,2.0,190,дизель,85746,2015,X3,5.0,1101639994,автоматическая,Оригинал,полный,Левый,1960000,1
внедорожник 5 дв.,MERCEDES,синий,2.1,170,дизель,50165,2017,GLC_KLASSE,5.0,1102204977,автоматическая,Оригинал,полный,Левый,2898000,1
седан,MERCEDES,красный,2.0,184,бензин,84875,2016,C_KLASSE,4.0,1102572276,автоматическая,Оригинал,полный,Левый,1920000,1
внедорожник 5 дв.,MERCEDES,чёрный,3.0,249,дизель,180701,2017,GLS_KLASSE,5.0,1102561498,автоматическая,Оригинал,полный,Левый,3864000,1
седан,MERCEDES,чёрный,3.2,224,бензин,293210,2004,E_KLASSE,4.0,1102716804,автоматическая,Дубликат,задний,Левый,420000,1
внедорожник 5 дв.,MERCEDES,красный,3.0,249,дизель,58350,2015,GLE_KLASSE_COUPE,5.0,1102674584,автоматическая,Оригинал,полный,Левый,4068000,1
внедорожник 5 дв.,MERCEDES,чёрный,2.0,211,бензин,40403,2019,GLA_CLASS,5.0,1102532449,роботизированная,Оригинал,полный,Левый,2381000,1
седан,MERCEDES,белый,3.0,231,бензин,184000,2008,C_KLASSE,4.0,1102634938,автоматическая,Дубликат,полный,Левый,730000,1
седан,MERCEDES,белый,2.0,197,бензин,7682,2019,E_KLASSE,4.0,1102612942,автоматическая,Оригинал,полный,Левый,3378000,1
кабриолет,MERCEDES,серебристый,2.2,120,бензин,58726,1959,W128,2.0,1096311218,механическая,Оригинал,задний,Левый,14000000,1
внедорожник 5 дв.,MERCEDES,чёрный,2.0,197,бензин,5225,2020,GLC_KLASSE,5.0,1102625897,автоматическая,Оригинал,полный,Левый,3598000,1
внедорожник 5 дв.,MERCEDES,чёрный,3.0,333,бензин,88301,2018,GLS_KLASSE,5.0,1102625894,автоматическая,Оригинал,полный,Левый,4674000,1
хэтчбек 5 дв.,MERCEDES,белый,1.3,150,бензин,9350,2019,A_KLASSE,5.0,1102532457,роботизированная,Оригинал,передний,Левый,1969000,1
хэтчбек 5 дв.,MERCEDES,красный,1.6,156,бензин,90463,2013,A_KLASSE,5.0,1102678289,роботизированная,Оригинал,передний,Левый,998000,1
седан,MERCEDES,чёрный,3.5,306,бензин,127052,2011,CLS_KLASSE,4.0,1101999624,автоматическая,Оригинал,задний,Левый,1520000,1
внедорожник 5 дв.,MERCEDES,чёрный,3.0,249,дизель,43000,2018,GLS_KLASSE,5.0,1102548126,автоматическая,Оригинал,полный,Левый,4950000,1
купе,MERCEDES,синий,2.0,197,бензин,13000,2020,E_KLASSE,2.0,1102581826,автоматическая,Оригинал,полный,Левый,4134000,1
внедорожник 5 дв.,MERCEDES,чёрный,4.7,435,бензин,142000,2012,GL_KLASSE,5.0,1102247385,автоматическая,Оригинал,полный,Левый,1980000,1
внедорожник 5 дв.,MERCEDES,белый,2.0,194,дизель,4092,2020,GLC_KLASSE,5.0,1102697353,автоматическая,Оригинал,полный,Левый,3597000,1
родстер,MERCEDES,белый,3.5,306,бензин,15974,2013,SL_KLASSE,2.0,1102681052,автоматическая,Оригинал,задний,Левый,4075000,1
минивэн l,MERCEDES,коричневый,2.1,136,дизель,99140,2015,V_KLASSE,5.0,1102522527,автоматическая,Оригинал,задний,Левый,2450000,1
минивэн,MERCEDES,серебристый,3.5,258,бензин,140400,2012,VIANO,4.0,1102601802,автоматическая,Оригинал,задний,Левый,1565000,1
седан,MERCEDES,белый,2.0,197,бензин,15392,2019,E_KLASSE,4.0,1102690689,автоматическая,Оригинал,полный,Левый,3378000,1
внедорожник 5 дв.,MERCEDES,серебристый,3.0,224,дизель,175000,2009,G_KLASSE,5.0,1102231772,автоматическая,Дубликат,полный,Левый,2600000,1
седан,MERCEDES,серый,2.0,224,бензин,21032,2019,CLA_KLASSE,4.0,1101935182,роботизированная,Оригинал,полный,Левый,2760000,1
седан,MERCEDES,чёрный,2.0,197,бензин,80966,2019,E_KLASSE,4.0,1102605065,автоматическая,Оригинал,задний,Левый,2424000,1
внедорожник 5 дв.,MERCEDES,чёрный,2.0,194,дизель,22,2020,GLC_KLASSE,5.0,1102688807,автоматическая,Оригинал,полный,Левый,3720000,1
внедорожник 5 дв.,MERCEDES,коричневый,2.0,211,бензин,41352,2018,GLA_CLASS,5.0,1102406355,роботизированная,Оригинал,полный,Левый,2376000,1
внедорожник 5 дв.,MERCEDES,чёрный,2.0,245,бензин,109225,2015,GLC_KLASSE,5.0,1102697240,автоматическая,Оригинал,полный,Левый,2445000,1
